INCI name,Hair penalty,Body penalty,Face penalty,Oral cavity penalty,Makeup penalty,Babies penalty,Classification,Functions,Origin
HORDEUM VULGARE EXTRACT,Low,Low,Low,Low,Low,Low,['Gluten'],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
HORDEUM VULGARE SEED EXTRACT,Low,Low,Low,Low,Low,Low,['Gluten'],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
HORDEUM VULGARE STEM WATER,Low,Low,Low,Low,Low,Low,['Gluten'],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
HOUTTUYNIA CORDATA EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
HUMULUS LUPULUS EXTRACT,None,None,None,None,None,None,[],[],['Vegetal']
HYALURONIC ACID,None,None,None,None,None,None,['Natural or hemisynthesis polymer'],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Humectant: Maintains water content of a cosmetic both in its packaging and on the skin', 'Moisturising: Increases the water content of the skin and helps keep it smooth and smooth', 'Skin conditioning: Maintains skin in good condition']","['Vegetal', 'Animal', 'Synthetic']"
HYDRATED SILICA,None,None,None,None,None,None,[],"['Abrasive: Removes materials from the surface of the body, helps clean teeth and improves shine', 'Absorbent: Absorbs water (or oil) in dissolved or fine form', 'Anticaking: Helps ensure the fluidity of solid particles and limit their agglomeration in powder cosmetic products or hard mass cosmetics', 'Bulking: Reduces apparent cosmetics density', 'Opacifying: Reduces transparency or translucency of cosmetics', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",['Mineral']
HYDROCARBURES ALIPHATIQUES,Low,Low,Low,Low,Low,Low,['VOC'],[],['Synthetic']
HYDROCHLORIC ACID,None,None,None,None,None,None,[],['pH regulator: Stabilises the pH of cosmetics'],['Synthetic']
HYDROCORTISONE ACETATE,Strong,Strong,Strong,Strong,Strong,Strong,"['Regulated', 'Forbidden in Europe']",['Skin conditioning: Maintains skin in good condition'],[]
HYDROGEN PEROXIDE,Medium,Medium,Medium,Medium,Medium,Medium,['Regulated'],[],"['Synthetic', 'Mineral']"
HYDROGENATED BRASSICA CAMPESTRIS/ALEURITES FORDI OIL COPOLYMER,None,None,None,None,None,None,['Hydrogenated oil'],"['Film forming: Produces a continuous film on skin, hair or nails', 'Skin conditioning: Maintains skin in good condition']",[]
HYDROGENATED CASTOR OIL,None,None,None,None,None,None,['Hydrogenated oil'],"['Emollient: Softens and smoothes the skin', 'Emulsifying: Promotes the formation of intimate mixtures between immiscible liquids by modifying the interfacial tension (water and oil)', 'Skin conditioning: Maintains skin in good condition', 'Surfactant: Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",['Vegetal']
HYDROGENATED CASTOR OIL/SEBACIC ACID COPOLYMER,None,None,None,None,None,None,"['Hydrogenated oil', 'Natural or hemisynthesis polymer']","['Emollient: Softens and smoothes the skin', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",[]
HYDROGENATED COCONUT OIL,None,None,None,None,None,None,['Hydrogenated oil'],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
HYDROGENATED COTTONSEED OIL,None,None,None,None,None,None,['Hydrogenated oil'],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']",[]
HYDROGENATED FARNESENE,None,None,None,None,None,None,['Hydrogenated oil'],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition', 'Solvent: Dissolves other substances']",[]
HYDROGENATED JOJOBA OIL,None,None,None,None,None,None,['Hydrogenated oil'],"['Abrasive: Removes materials from the surface of the body, helps clean teeth and improves shine', 'Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
HYDROGENATED LECITHIN,None,None,None,None,None,None,"['Quaternary ammonium cation', 'Hydrogenated oil']","['Emulsifying: Promotes the formation of intimate mixtures between immiscible liquids by modifying the interfacial tension (water and oil)', 'Skin conditioning: Maintains skin in good condition']",[]
HYDROGENATED MICROCRYSTALLINE WAX,Medium,Medium,Medium,Medium,Medium,Medium,"['Mineral oil', 'Hydrogenated oil']","['Binding agent: Allows the cohesion of different cosmetic ingredients', 'Emulsion stabilising: Promotes the emulsification process and improves the stability and shelf life of the emulsion', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",['Synthetic']
HYDROGENATED OLIVE OIL,None,None,None,None,None,None,['Hydrogenated oil'],"['Skin conditioning: Maintains skin in good condition', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",[]
HYDROGENATED OLIVE OIL UNSAPONIFIABLES,None,None,None,None,None,None,['Hydrogenated oil'],"['Emollient: Softens and smoothes the skin', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",[]
HYDROGENATED PALM GLYCERIDES CITRATE,None,None,None,None,None,None,"['Hydrogenated oil', 'Palm oil (Derivative)']","['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']",[]
HYDROGENATED PALM OIL,None,None,None,None,None,None,"['Hydrogenated oil', 'Palm oil (Derivative)']","['Emollient: Softens and smoothes the skin', 'Emulsifying: Promotes the formation of intimate mixtures between immiscible liquids by modifying the interfacial tension (water and oil)', 'Skin conditioning: Maintains skin in good condition', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",[]
HYDROGENATED PEANUT OIL,Low,Low,Low,Low,Low,Low,"['Peanuts', 'Regulated', 'Hydrogenated oil']","['Emollient: Softens and smoothes the skin', 'Emulsifying: Promotes the formation of intimate mixtures between immiscible liquids by modifying the interfacial tension (water and oil)', 'Skin conditioning: Maintains skin in good condition', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",['Vegetal']
HYDROGENATED PHOSPHATIDYLCHOLINE,None,None,None,None,None,None,"['Quaternary ammonium cation', 'Amphoteric surfactant', 'Hydrogenated oil']","['Emulsifying: Promotes the formation of intimate mixtures between immiscible liquids by modifying the interfacial tension (water and oil)', 'Skin conditioning: Maintains skin in good condition']",[]
HYDROGENATED POLY(C6-14 OLEFIN),Medium,Medium,Medium,Medium,Medium,Medium,"['Synthetic polymer', 'Hydrogenated oil']","['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",[]
HYDROGENATED POLY(C6-20 OLEFIN),Medium,Medium,Medium,Medium,Medium,Medium,"['Synthetic polymer', 'Hydrogenated oil']","['Abrasive: Removes materials from the surface of the body, helps clean teeth and improves shine', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",[]
HYDROGENATED POLYBUTENE,Medium,Medium,Medium,Medium,Medium,Medium,"['Mineral oil', 'Hydrogenated oil']",['Viscosity controlling: Increases or decreases the viscosity of cosmetics'],[]
HYDROGENATED POLYCYCLOPENTADIENE,Medium,Medium,Medium,Medium,Medium,Medium,"['Mineral oil', 'Hydrogenated oil']",['Depilatory: Removes unwanted hair'],[]
HYDROGENATED POLYDECENE,Medium,Medium,Medium,Medium,Medium,Medium,"['Mineral oil', 'Hydrogenated oil']","['Emollient: Softens and smoothes the skin', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition', 'Solvent: Dissolves other substances', 'Perfuming: Used for perfume and aromatic raw materials']",['Synthetic']
HYDROGENATED POLYISOBUTENE,Medium,Medium,Medium,Medium,Medium,Medium,"['Mineral oil', 'Hydrogenated oil']","['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",[]
HYDROGENATED RAPESEED OIL,None,None,None,None,None,None,['Hydrogenated oil'],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",['Vegetal']
HYDROGENATED SOYBEAN OIL,None,None,None,None,None,None,['Hydrogenated oil'],"['Emollient: Softens and smoothes the skin', 'Humectant: Maintains water content of a cosmetic both in its packaging and on the skin', 'Skin conditioning: Maintains skin in good condition', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",['Vegetal']
HYDROGENATED STARCH HYDROLYSATE,None,None,None,None,None,None,"['Hydrogenated oil', 'Natural or hemisynthesis polymer']",['Humectant: Maintains water content of a cosmetic both in its packaging and on the skin'],"['Vegetal', 'Synthetic']"
HYDROGENATED VEGETABLE OIL,None,None,None,None,None,None,['Hydrogenated oil'],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
HYDROLYZED CANNABIS SATIVA SEED EXTRACT,None,None,None,None,None,None,[],"['Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",[]
HYDROLYZED CARRAGEENAN,None,None,None,None,None,None,"['Sulphate', 'Natural or hemisynthesis polymer']",['Skin conditioning: Maintains skin in good condition'],[]
HYDROLYZED COLLAGEN,None,None,None,None,None,None,['Natural or hemisynthesis polymer'],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Emollient: Softens and smoothes the skin', 'Film forming: Produces a continuous film on skin, hair or nails', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Humectant: Maintains water content of a cosmetic both in its packaging and on the skin', 'Skin conditioning: Maintains skin in good condition']","['Vegetal', 'Animal']"
HYDROLYZED CORN PROTEIN,None,None,None,None,None,None,['Natural or hemisynthesis polymer'],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
HYDROLYZED CORN STARCH,None,None,None,None,None,None,['Natural or hemisynthesis polymer'],"['Binding agent: Allows the cohesion of different cosmetic ingredients', 'Humectant: Maintains water content of a cosmetic both in its packaging and on the skin', 'Skin conditioning: Maintains skin in good condition', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",['Vegetal']
HYDROLYZED HEMP SEED EXTRACT,None,None,None,None,None,None,[],"['Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",[]
HYDROLYZED HYALURONIC ACID,None,None,None,None,None,None,['Natural or hemisynthesis polymer'],"['Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Humectant: Maintains water content of a cosmetic both in its packaging and on the skin', 'Skin conditioning: Maintains skin in good condition']",[]
HYDROLYZED KERATIN,None,None,None,None,None,None,[],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Film forming: Produces a continuous film on skin, hair or nails', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Humectant: Maintains water content of a cosmetic both in its packaging and on the skin', 'Skin conditioning: Maintains skin in good condition']",['Animal']
HYDROLYZED KERATIN PG-PROPYL METHYLSILANEDIOL,Medium,Medium,Medium,Medium,Medium,Medium,[],"['Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",[]
HYDROLYZED MILK PROTEIN,None,None,None,None,None,None,['Natural or hemisynthesis polymer'],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",['Animal']
HYDROLYZED SESAME PROTEIN PG-PROPYL METHYLSILANEDIOL,Medium,Medium,Medium,Medium,Medium,Medium,['PEG / PPG'],"['Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",[]
HYDROLYZED SILK,None,None,None,None,None,None,[],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Humectant: Maintains water content of a cosmetic both in its packaging and on the skin', 'Skin conditioning: Maintains skin in good condition']",['Animal']
HYDROLYZED SOY PROTEIN,None,None,None,None,None,None,['Natural or hemisynthesis polymer'],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Humectant: Maintains water content of a cosmetic both in its packaging and on the skin', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
HYDROLYZED STARCH,None,None,None,None,None,None,['Natural or hemisynthesis polymer'],"['Humectant: Maintains water content of a cosmetic both in its packaging and on the skin', 'Skin conditioning: Maintains skin in good condition', 'Skin protecting: Helps to avoid the harmful effects of external factors on the skin']",[]
HYDROLYZED VEGETABLE PROTEIN PG-PROPYL SILANETRIOL,Medium,Medium,Medium,Medium,Medium,Medium,[],"['Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",['Synthetic']
HYDROLYZED WHEAT PROTEIN,Low,Low,Low,Low,Low,Low,"['Regulated', 'Gluten', 'Natural or hemisynthesis polymer']","['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
HYDROLYZED WHEAT STARCH,Low,Low,Low,Low,Low,Low,"['Gluten', 'Natural or hemisynthesis polymer']","['Skin conditioning: Maintains skin in good condition', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",[]
HYDROQUINONE,Strong,Strong,Strong,Strong,Strong,Strong,"['Regulated', 'Forbidden in Europe']","['Antioxidant: Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity', 'Bleaching: Lightens hair and complexion shades', 'Hair dyeing: Colors the hair', 'Masking: Reduces or inhibits the odor or basic taste of the product', 'Reducing: Changes the chemical nature of another substance by adding hydrogen or removing the oxygen']",['Synthetic']
HYDROXYACETOPHENONE,None,None,None,None,None,None,[],"['Antioxidant: Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity']",[]
HYDROXYANTHRAQUINONEAMINOPROPYL METHYL MORPHOLINIUM METHOSULFATE,Low,Low,Low,Low,Low,Low,"['Sulphate', 'Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
HYDROXYAPATITE,Low,Low,Low,Low,Low,Low,['Regulated'],"['Abrasive: Removes materials from the surface of the body, helps clean teeth and improves shine', 'Bulking: Reduces apparent cosmetics density', 'Oral care/hygiene agent: Provides cosmetic effects to the oral cavity (cleaning, deodorization and protection)', 'Skin conditioning: Maintains skin in good condition']",[]
HYDROXYBENZOMORPHOLINE,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
HYDROXYCITRONELLAL,Low,Low,Low,Low,Low,Low,"['Allergen', 'Regulated', 'Alcohol']",['Perfuming: Used for perfume and aromatic raw materials'],['Synthetic']
HYDROXYETHOXY AMINOPYRAZOLOPYRIDINE HCL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
HYDROXYETHOXYPHENYL BUTANONE,None,None,None,None,None,None,['Preservative'],"['Preservative: Inhibits the development of microorganisms in cosmetic products', 'Skin conditioning: Maintains skin in good condition']",['Synthetic']
HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER,Medium,Medium,Medium,Medium,Medium,Medium,['Synthetic polymer'],"['Emulsion stabilising: Promotes the emulsification process and improves the stability and shelf life of the emulsion', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",['Synthetic']
HYDROXYETHYL-2-NITRO-P-TOLUIDINE,Medium,Medium,Medium,Medium,Medium,Medium,"['Ethoxylated compound', 'Regulated', 'Hair dye']",[],[]
"HYDROXYETHYL-3,4-METHYLENEDIOXYANILINE HCL",Medium,Medium,Medium,Medium,Medium,Medium,"['Ethoxylated compound', 'Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
HYDROXYETHYL-P-PHENYLENEDIAMINE SULFATE,Medium,Medium,Medium,Medium,Medium,Medium,"['Sulphate', 'PPD', 'Ethoxylated compound', 'Regulated', 'Hair dye']",[],[]
HYDROXYETHYLCELLULOSE,Medium,Medium,Medium,Medium,Medium,Medium,"['Ethoxylated compound', 'Synthetic polymer']","['Binding agent: Allows the cohesion of different cosmetic ingredients', 'Emulsion stabilising: Promotes the emulsification process and improves the stability and shelf life of the emulsion', 'Film forming: Produces a continuous film on skin, hair or nails', 'Stabilising: Improves ingredients or stability of the formula and shelf life', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",['Synthetic']
HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE,Strong,Strong,Strong,Strong,Strong,Strong,"['Allergen', 'Regulated', 'Forbidden in Europe']","['Masking: Reduces or inhibits the odor or basic taste of the product', 'Perfuming: Used for perfume and aromatic raw materials']",['Synthetic']
HYDROXYLATED LANOLIN,Medium,Medium,Medium,Medium,Medium,Medium,[],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Binding agent: Allows the cohesion of different cosmetic ingredients', 'Emollient: Softens and smoothes the skin', 'Emulsifying: Promotes the formation of intimate mixtures between immiscible liquids by modifying the interfacial tension (water and oil)', 'Film forming: Produces a continuous film on skin, hair or nails', 'Skin conditioning: Maintains skin in good condition']",[]
HYDROXYLATED LECITHIN,Medium,Medium,Medium,Medium,Medium,Medium,['Quaternary ammonium cation'],"['Emulsifying: Promotes the formation of intimate mixtures between immiscible liquids by modifying the interfacial tension (water and oil)', 'Skin conditioning: Maintains skin in good condition', 'Surfactant: Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used']",[]
HYDROXYPROPYL BIS(N-HYDROXYETHYL-P-PHENYLENEDIAMINE) HCL,Medium,Medium,Medium,Medium,Medium,Medium,"['PPD', 'Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
HYDROXYPROPYL CHITOSAN,Medium,Medium,Medium,Medium,Medium,Medium,[],"['Film forming: Produces a continuous film on skin, hair or nails']",[]
HYDROXYPROPYL CYCLODEXTRIN,Medium,Medium,Medium,Medium,Medium,Medium,[],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition']",[]
HYDROXYPROPYL GUAR,Medium,Medium,Medium,Medium,Medium,Medium,[],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Binding agent: Allows the cohesion of different cosmetic ingredients', 'Emulsion stabilising: Promotes the emulsification process and improves the stability and shelf life of the emulsion', 'Film forming: Produces a continuous film on skin, hair or nails', 'Surfactant: Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",['Synthetic']
HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE,Medium,Medium,Medium,Medium,Medium,Medium,"['Quaternary ammonium cation', 'Propoxylated compound']","['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine']",['Synthetic']
HYDROXYPROPYL METHACRYLATE,Medium,Medium,Medium,Medium,Medium,Medium,[],"['Film forming: Produces a continuous film on skin, hair or nails']",[]
HYDROXYPROPYL METHYLCELLULOSE,Medium,Medium,Medium,Medium,Medium,Medium,[],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Binding agent: Allows the cohesion of different cosmetic ingredients', 'Emulsion stabilising: Promotes the emulsification process and improves the stability and shelf life of the emulsion', 'Film forming: Produces a continuous film on skin, hair or nails', 'Surfactant: Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']","['Vegetal', 'Synthetic']"
HYDROXYPROPYL METHYLCELLULOSE STEAROXY ETHER,Medium,Medium,Medium,Medium,Medium,Medium,[],['Viscosity controlling: Increases or decreases the viscosity of cosmetics'],[]
HYDROXYPROPYL STARCH,Medium,Medium,Medium,Medium,Medium,Medium,[],['Viscosity controlling: Increases or decreases the viscosity of cosmetics'],[]
HYDROXYPROPYL STARCH PHOSPHATE,Medium,Medium,Medium,Medium,Medium,Medium,[],"['Bulking: Reduces apparent cosmetics density', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",[]
HYDROXYPROPYL TETRAHYDROPYRANTRIOL,Medium,Medium,Medium,Medium,Medium,Medium,[],['Skin conditioning: Maintains skin in good condition'],[]
HYDROXYPROPYLAMMONIUM GLUCONATE,Medium,Medium,Medium,Medium,Medium,Medium,[],"['Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Humectant: Maintains water content of a cosmetic both in its packaging and on the skin']",[]
HYDROXYPROPYLCELLULOSE,Medium,Medium,Medium,Medium,Medium,Medium,['Propoxylated compound'],"['Binding agent: Allows the cohesion of different cosmetic ingredients', 'Emulsifying: Promotes the formation of intimate mixtures between immiscible liquids by modifying the interfacial tension (water and oil)', 'Emulsion stabilising: Promotes the emulsification process and improves the stability and shelf life of the emulsion', 'Film forming: Produces a continuous film on skin, hair or nails', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",['Synthetic']
HYDROXYPROPYLGLUCONAMIDE,Medium,Medium,Medium,Medium,Medium,Medium,[],"['Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Humectant: Maintains water content of a cosmetic both in its packaging and on the skin']",[]
HYPERICUM PERFORATUM EXTRACT,None,None,None,None,None,None,[],"['Antimicrobial: Helps slowing the growth of micro-organisms on the skin and counteracts the development of microbes', 'Astringent: Helps tighten skin pores', 'Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition', 'Skin protecting: Helps to avoid the harmful effects of external factors on the skin', 'Soothing: Helps to reduce the skin or scalp discomfort', 'Tonic: Produces a feeling of well-being on skin and hair']",['Vegetal']
HYPERICUM PERFORATUM OIL,None,None,None,None,None,None,['Essential oil'],['Emollient: Softens and smoothes the skin'],['Vegetal']
HYPNEA MUSCIFORMIS EXTRACT,None,None,None,None,None,None,[],['Skin protecting: Helps to avoid the harmful effects of external factors on the skin'],[]
ILLICIUM VERUM FRUIT EXTRACT,None,None,None,None,None,None,[],"['Skin conditioning: Maintains skin in good condition', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
ILLICIUM VERUM FRUIT/SEED OIL,None,None,None,None,None,None,['Essential oil'],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Oral care/hygiene agent: Provides cosmetic effects to the oral cavity (cleaning, deodorization and protection)', 'Tonic: Produces a feeling of well-being on skin and hair']",['Vegetal']
ILLITE,None,None,None,None,None,None,[],"['Abrasive: Removes materials from the surface of the body, helps clean teeth and improves shine', 'Absorbent: Absorbs water (or oil) in dissolved or fine form', 'Anticaking: Helps ensure the fluidity of solid particles and limit their agglomeration in powder cosmetic products or hard mass cosmetics', 'Bulking: Reduces apparent cosmetics density']",['Mineral']
IMIDAZOLE,Strong,Strong,Strong,Strong,Strong,Strong,['Regulated'],['pH regulator: Stabilises the pH of cosmetics'],[]
IMIDAZOLIDINYL UREA,Strong,Strong,Strong,Strong,Strong,Strong,"['Regulated', 'Formaldehyde liberator', 'Preservative']",['Preservative: Inhibits the development of microorganisms in cosmetic products'],['Synthetic']
IMPATIENS CAPENSIS EXTRACT,None,None,None,None,None,None,[],"['Astringent: Helps tighten skin pores', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
INDIGOFERA TINCTORIA,Low,Low,Low,Low,Low,Low,['Regulated'],[],['Vegetal']
INDIGOFERA TINCTORIA EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],['Skin conditioning - miscellaneous: Improving the appearance of dry and/or damaged skin by reducing flaking and restoring its suppleness'],['Vegetal']
INDIGOFERA TINCTORIA LEAF,Low,Low,Low,Low,Low,Low,['Regulated'],['Hair dyeing: Colors the hair'],['Vegetal']
INDIGOFERA TINCTORIA LEAF EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
INDIGOFERA TINCTORIA LEAF POWDER,Low,Low,Low,Low,Low,Low,['Regulated'],"['Skin conditioning: Maintains skin in good condition', 'Skin conditioning - miscellaneous: Improving the appearance of dry and/or damaged skin by reducing flaking and restoring its suppleness']",['Vegetal']
INULIN,None,None,None,None,None,None,['Natural or hemisynthesis polymer'],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
IODOPROPYNYL BUTYLCARBAMATE,Low,Low,Low,Low,Low,Low,"['Regulated', 'Preservative']",[],[]
IPOMOEA BATATAS ROOT EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
IRIS FLORENTINA ROOT EXTRACT,None,None,None,None,None,None,[],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Tonic: Produces a feeling of well-being on skin and hair']",['Vegetal']
ISATIS TINCTORIA SEED OIL,None,None,None,None,None,None,['Vegetable oil'],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
ISOAMYL ALLYLGLYCOLATE,Low,Low,Low,Low,Low,Low,['Regulated'],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Perfuming: Used for perfume and aromatic raw materials']",[]
ISOAMYL LAURATE,None,None,None,None,None,None,['Esterified oil'],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']","['Vegetal', 'Synthetic']"
ISOAMYL P-METHOXYCINNAMATE,Strong,Strong,Strong,Strong,Strong,Strong,"['Suspected endocrine disruptor', 'UV chemical filter', 'Regulated']","['Stabilising: Improves ingredients or stability of the formula and shelf life', 'Uv absorber: Protects the cosmetic product from UV-light effects', 'Uv filter: Filters certain UV rays to protect the skin or hair from the harmful effects of these rays']",['Synthetic']
ISOBUTANE,Low,Low,Low,Low,Low,Low,['VOC'],"['Propellant: Generates pressure in an aerosol pack, expelling contents when the valve is opened Some liquefied propellants can act as solvents']","['Synthetic', 'Mineral']"
ISOBUTYL BENZOATE,Low,Low,Low,Low,Low,Low,"['Regulated', 'Preservative']","['Masking: Reduces or inhibits the odor or basic taste of the product', 'Preservative: Inhibits the development of microorganisms in cosmetic products', 'Solvent: Dissolves other substances']",[]
ISOBUTYLAMIDO THIAZOLYL RESORCINOL,Medium,Medium,Medium,Medium,Medium,Medium,[],"['Antioxidant: Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity', 'Bleaching: Lightens hair and complexion shades', 'Skin conditioning - miscellaneous: Improving the appearance of dry and/or damaged skin by reducing flaking and restoring its suppleness']",[]
ISOBUTYLPARABEN,Strong,Strong,Strong,Strong,Strong,Strong,"['Paraben', 'Suspected endocrine disruptor', 'Regulated', 'Preservative', 'Forbidden in Europe']",['Antimicrobial: Helps slowing the growth of micro-organisms on the skin and counteracts the development of microbes'],['Synthetic']
ISODODECANE,Medium,Medium,Medium,Medium,Medium,Medium,['Mineral oil'],"['Emollient: Softens and smoothes the skin', 'Solvent: Dissolves other substances', 'Perfuming: Used for perfume and aromatic raw materials']",[]
ISOEICOSANE,Medium,Medium,Medium,Medium,Medium,Medium,['Mineral oil'],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition', 'Solvent: Dissolves other substances']",[]
